title,source_name,url,published_at,sentiment_score
"Woman Finds A Mobile Vet Who She Plans To Call When It’s Time For Her Cat To Pass On, But Her Spouse Thinks It’s A Really Bad Idea",Twistedsifter.com,http://twistedsifter.com/2025/08/woman-finds-a-mobile-vet-who-she-plans-to-call-when-its-time-for-her-cat-to-pass-on-but-her-spouse-thinks-its-a-really-bad-idea/,2025-08-07 00:22:19+00:00,0.0
"20-year Rockstar vet Lazlow has been Grand Theft Auto's radio host since GTA 3, but he doubts he'll appear in GTA 6: ""It was an amazing journey""",GamesRadar+,https://www.gamesradar.com/games/grand-theft-auto/20-year-rockstar-vet-lazlow-has-been-grand-theft-autos-radio-host-since-gta-3-but-he-doubts-hell-appear-in-gta-6-it-was-an-amazing-journey/,2025-08-06 20:05:59+00:00,0.0
13+ vet-approved ways to keep your dog cool in hot weather,NBC News,https://www.nbcnews.com/select/shopping/how-to-keep-dogs-cool-rcna223254,2025-08-06 14:31:18+00:00,0.0
Call to vet YouTube ads like regular TV to stop scams,BBC News,https://www.bbc.com/news/articles/ckge5xdwjx5o,2025-08-06 01:28:14+00:00,0.0
PGA Tour veteran ‘very concerned’ after Rory McIlroy skips first playoff event - New York Post,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=178584192,2025-08-05 23:34:19+00:00,0.0
Worried Owner Takes Dog To Vet As She Stops Eating—Unprepared for Diagnosis,Biztoc.com,https://biztoc.com/x/106ab0ef74577fd2,2025-08-05 13:46:49+00:00,-0.8618429899215698
Worried Owner Takes Dog To Vet As She Stops Eating—Unprepared for Diagnosis,Newsweek,https://www.newsweek.com/owner-chihuahua-food-kibble-vet-2109016,2025-08-05 13:38:58+00:00,-0.7231431007385254
Local vet earns fur-tastic certificate,Royal Gazette,https://www.royalgazette.com/health/news/article/20250805/local-vet-earns-fur-tastic-certificate/,2025-08-05 11:07:00+00:00,0.0
"Iraq Vet Wanted in Montana Bar Shooting Was Ignored by VA, Family Claims",Biztoc.com,https://biztoc.com/x/8bd3d54112e43f8f,2025-08-04 16:42:41+00:00,-0.681856095790863
"Lyrical Media Launches Indie Video Game Publisher Led by UTA, Take Two Vet Blake Rochkind; Three Titles in Development (EXCLUSIVE)",Variety,https://variety.com/2025/gaming/news/lyrical-media-video-game-publisher-blake-rochkind-1236477225/,2025-08-04 16:00:00+00:00,0.0
"'If she wanted the money, she needed to show some proof': Entitled Karen neighbor lies about resident's senior cat and demands they refund her vet bills, then turns the whole neighborhood against them",Cheezburger.com,https://cheezburger.com/41786885/if-she-wanted-the-money-she-needed-to-show-some-proof-entitled-karen-neighbor-lies-about-residents,2025-08-04 16:00:00+00:00,0.0
Owner Takes Maltipoo To Vet With 'Broken Leg'—Then Discovers the Truth,Newsweek,https://www.newsweek.com/owner-takes-maltipoo-vet-discovers-truth-2108481,2025-08-04 15:45:26+00:00,0.0
Disabled IDF vet tries to break into rehab office after pouring liquid on himself,Israelnationalnews.com,https://www.israelnationalnews.com/news/412733,2025-08-04 11:43:49+00:00,-0.4965876638889313
PTSD-disabled IDF vet tries to break into rehab office after pouring liquid on himself,Israelnationalnews.com,https://www.israelnationalnews.com/flashes/663616,2025-08-04 11:14:43+00:00,-0.8492285013198853
Costco Members: 3.4 fl oz Tom Ford Black Orchid or Grey Vetiver Eau de Parfum $100 each (1 replies),Slickdeals.net,https://slickdeals.net/f/18504598-costco-members-3-4-fl-oz-tom-ford-black-orchid-or-grey-vetiver-eau-de-parfum-100-each,2025-08-04 11:08:37+00:00,0.0
"Envestnet Asset Management Inc. Acquires 24,079 Shares of Vermilion Energy Inc. (NYSE:VET)",ETF Daily News,https://www.etfdailynews.com/2025/08/03/envestnet-asset-management-inc-acquires-24079-shares-of-vermilion-energy-inc-nysevet/,2025-08-03 07:47:06+00:00,0.9474138617515564
Police find getaway car of army veteran suspected of deadly Montana bar shooting,Freerepublic.com,https://freerepublic.com/focus/f-chat/4332310/posts,2025-08-02 20:42:07+00:00,0.0
"Day 2 manhunt for US Army vet. accused of killing 4 in Montana bar, escaped in underpants: authorities",New York Post,https://nypost.com/2025/08/02/us-news/day-2-manhunt-for-us-army-vet-accused-of-killing-4-in-montana-bar-authorities/,2025-08-02 19:51:58+00:00,0.0
Manhunt Continues for Iraq War Vet Suspected of Killing Four in Montana Bar,Breitbart News,https://www.breitbart.com/2nd-amendment/2025/08/02/manhunt-continues-iraq-war-vet-suspected-killing-four-montana-bar/,2025-08-02 17:38:46+00:00,-0.6069566607475281
Funny Treat Dispenser Great Dane Dad Is Advised By Vet That Girl Dog Needs To Diet - Sad Dad,YouTube,https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DadUUkDI7LhE,2025-08-01 16:44:13+00:00,0.0
"A Navy SEAL vet turned CEO shared his morning routine for longevity: Sunlight, low-impact cardio, and drinking salt water",Biztoc.com,https://biztoc.com/x/c6bd65355b84e58d,2025-08-01 10:03:13+00:00,0.0
"A Navy SEAL vet turned CEO shared his morning routine for longevity: Sunlight, low-impact cardio, and drinking salt water",Business Insider,https://www.businessinsider.com/veteran-navy-seal-shares-longevity-morning-routine-salt-water-cardio-2025-7,2025-08-01 09:52:01+00:00,0.0
