title,source_name,url,published_at,sentiment_score
"Shiba Inu’s Shibarium Is More Than A Layer 2, Expert Reveals What It Is",newsBTC,http://www.newsbtc.com/news/shiba-inus-shibarium-above-layer-2/,2025-08-06 18:00:04+00:00,0.6567578315734863
Shiba Inu's Bollinger Bands Tightest Since February 2024 After 13% Weekly Drop,Biztoc.com,https://biztoc.com/x/32dc5bb817d76a83,2025-08-06 13:15:58+00:00,-0.9530472755432129
"Shiba Inu (SHIB) Turned $1000 into Millions, This $0.035 Token Could Be Next",Cryptopolitan,https://partner.cryptopolitan.com/shiba-inu-shib-turned-1000-into-millions-this-0-035-token-could-be-next/,2025-08-06 11:30:00+00:00,0.0
"Shiba Inu's Next Leader To Be Picked In A US-Style Elections, Says Shytoshi Kusama",Biztoc.com,https://biztoc.com/x/b7414871fc1e2480,2025-08-06 07:40:11+00:00,0.0
Shiba Inu Starts Voting Process To Elect First Network President,Bitcoinist,https://bitcoinist.com/shiba-inu-voting-elect-first-network-president/,2025-08-06 07:30:37+00:00,0.0
Shiba Inu Team Member Reveals ‘Primary Challenge’ And ‘Top Priority’ Amid Market Uncertainty,newsBTC,http://www.newsbtc.com/shiba-inu/shiba-inu-primary-challenge/,2025-08-05 17:00:11+00:00,-0.4795742332935333
Shiba Inu Price Forecast: Bears Take Charge of SHIB Future While Insiders Switch to AI Asset Manager,Cryptopolitan,https://partner.cryptopolitan.com/shiba-inu-price-forecast-bears-take-charge-of-shib-future-while-insiders-switch-to-ai-asset-manager/,2025-08-05 15:14:47+00:00,-0.7588051557540894
"Shiba Inu Open Interest Crashes From $328 Million July Peak To $190 Million, What’s Going On?",Bitcoinist,https://bitcoinist.com/shiba-inu-open-interest-crashes/,2025-08-05 14:00:04+00:00,-0.9494034647941589
Best Cheap Crypto Token That Could Explode Like Shiba Inu (SHIB),Cryptopolitan,https://partner.cryptopolitan.com/best-cheap-crypto-token-that-could-explode-like-shiba-inu-shib/,2025-08-05 11:30:00+00:00,0.0
Shiba Inu Hype Fades While Bitcoin Swift Quietly Builds the Most Rewarding Chain of 2025,Cryptopolitan,https://partner.cryptopolitan.com/shiba-inu-hype-fades-while-bitcoin-swift-quietly-builds-the-most-rewarding-chain-of-2025/,2025-08-05 11:00:00+00:00,0.0
Shiba Inu (SHIB) vs Mutuum Finance (MUTM): Which is the Next Crypto to Hit $1?,Cryptopolitan,https://partner.cryptopolitan.com/shiba-inu-shib-vs-mutuum-finance-mutm-which-is-the-next-crypto-to-hit-1/,2025-08-04 10:07:31+00:00,0.6795289516448975
"SHIB Price Prediction: Can Shiba Inu Bounce Back, Or Is This Altcoin The Better Buy Now?",Cryptopolitan,https://partner.cryptopolitan.com/can-shiba-inu-bounce-back-or-is-this-altcoin-the-better-buy-now/,2025-08-03 13:29:00+00:00,0.8799887299537659
"Shiba Inu (SHIB) Stumbles Again, While One Penny Crypto is Tipped to Explode and Turn $800 into $160,000",Cryptopolitan,https://partner.cryptopolitan.com/shiba-inu-shib-stumbles-again-while-one-penny-crypto-is-tipped-to-explode-and-turn-800-into-160000/,2025-08-03 11:30:00+00:00,-0.9156311750411987
Shiba Inu Whale Accumulation Plus Dual Bullish Patterns Project 70% Rocket for SHIB Price,ZyCrypto,https://zycrypto.com/shiba-inu-whale-accumulation-plus-dual-bullish-patterns-project-70-rocket-for-shib-price/,2025-08-02 19:00:56+00:00,0.9462927579879761
Shiba Inu Coin Gains Utility and Community Strength as HashJ Launches SHIB Focused Contracts,GlobeNewswire,https://www.globenewswire.com/news-release/2025/08/02/3126178/0/en/Shiba-Inu-Coin-Gains-Utility-and-Community-Strength-as-HashJ-Launches-SHIB-Focused-Contracts.html,2025-08-02 12:00:00+00:00,0.9211935997009277
Shiba Inu (SHIB) Loses Momentum as DeFi Token Mutuum Finance (MUTM) Targets $4 from $0.035,Cryptopolitan,https://partner.cryptopolitan.com/shiba-inu-shib-loses-momentum-as-defi-token-mutuum-finance-mutm-targets-4-from-0-035/,2025-08-02 01:30:00+00:00,-0.9429088830947876
Shiba Inu Goes Quantum-Proof: New Identity System Uses Advanced Encryption to Protect Ecosystem,ZyCrypto,https://zycrypto.com/shiba-inu-goes-quantum-proof-new-identity-system-uses-advanced-encryption-to-protect-ecosystem/,2025-08-01 21:14:41+00:00,0.8470483422279358
Shiba Inu Tanks 6% But 'Inverted Hammer' Offers Hope to Bulls,Biztoc.com,https://biztoc.com/x/8f9be5f7dcab657a,2025-08-01 14:40:59+00:00,-0.9073391556739807
"Shiba Inu Celebrates Its 5th Birthday With Burn Rate Spiking To 5,800%",Biztoc.com,https://biztoc.com/x/d87bd8a3ecb10f60,2025-08-01 13:56:17+00:00,0.9441614151000977
